id,book_id,isbn,authors,original_publication_year,title
1,2767052,439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)"
2,3,439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,41865,316015849,Stephenie Meyer,2005,"Twilight (Twilight, #1)"
4,2657,61120081,Harper Lee,1960,To Kill a Mockingbird
5,4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby
6,11870085,525478817,John Green,2012,The Fault in Our Stars
7,5907,618260307,J.R.R. Tolkien,1937,The Hobbit
8,5107,316769177,J.D. Salinger,1951,The Catcher in the Rye
9,960,1416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)"
10,1885,679783261,Jane Austen,1813,Pride and Prejudice
11,77203,1594480001,Khaled Hosseini,2003,The Kite Runner
12,13335037,62024035,Veronica Roth,2011,"Divergent (Divergent, #1)"
13,5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984
14,7613,452284244,George Orwell,1945,Animal Farm
15,48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl
16,2429135,307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,6148028,439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)"
18,5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,34,618346252,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,7260188,439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)"
21,2,439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,12232938,316166685,Alice Sebold,2002,The Lovely Bones
23,15881,439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,6,439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,136251,545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,968,307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)"
27,1,439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,7624,140283331,William Golding,1954,Lord of the Flies
29,18135,743477111,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet
30,8442457,297859382,Gillian Flynn,2012,Gone Girl
31,4667024,399155341,Kathryn Stockett,2009,The Help
32,890,142000671,John Steinbeck,1937,Of Mice and Men
33,930,739326228,Arthur Golden,1997,Memoirs of a Geisha
34,10818853,1612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)"
35,865,61122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist
36,3636,385732554,Lois Lowry,1993,"The Giver (The Giver, #1)"
37,100915,60764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,14050,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife
39,13496,553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,19501,143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love"
41,28187,786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,1934,451529308,Louisa May Alcott,1868,"Little Women (Little Women, #1)"
43,10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre
44,15931,553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)"
45,4214,770430074,Yann Martel,2001,Life of Pi
46,43641,1565125606,Sara Gruen,2006,Water for Elephants
47,19063,375831002,Markus Zusak,2005,The Book Thief
48,4381,307347974,Ray Bradbury,1953,Fahrenheit 451
49,49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)"
50,30119,60513039,Shel Silverstein,1974,Where the Sidewalk Ends
51,256683,1416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)"
52,428263,316160202,Stephenie Meyer,2007,"Eclipse (Twilight, #3)"
53,113436,375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)"
54,11,345391802,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,5129,60929871,Aldous Huxley,1932,Brave New World
56,1162543,031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)"
57,37435,142001740,Sue Monk Kidd,2001,The Secret Life of Bees
58,2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn
59,24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web
60,1618,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time
61,22557272,1594633665,Paula Hawkins,2015,The Girl on the Train
62,119322,679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)"
63,6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights
64,10917,743454537,Jodi Picoult,2004,My Sister's Keeper
65,4981,385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five
66,18405,446675539,Margaret Mitchell,1936,Gone with the Wind
67,128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns
68,22628,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower
69,11735983,7442912,Veronica Roth,2012,"Insurgent (Divergent, #2)"
70,375802,812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)"
71,18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein
72,11588,450040186,Stephen King,1977,The Shining (The Shining #1)
73,1656001,316068047,Stephenie Meyer,2008,"The Host (The Host, #1)"
74,99561,142402516,John Green,2005,Looking for Alaska
75,227443,014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)"
76,14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility
77,38709,439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)"
78,5139,307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey
80,157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince
81,7445,074324754X,Jeannette Walls,2005,The Glass Castle
82,1845,385486804,Jon Krakauer,1996,Into the Wild
83,1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities
84,7677,030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)"
