goodreads_book_id,title,authors,average_rating,ratings_count,Fantasy,art,biography,business,christian,classics,comics,cookbooks,crime,history,horror,manga,memoir,music,mystery,paranormal,philosophy,poetry,psychology,religion,romance,science,spirituality,sports,suspense,thriller,travel
1,Harry Potter and the Half,"J.K. Rowling, Mary GrandPré",4.54,1678823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",4.46,1735368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré",4.44,4602479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1832823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",4.53,1753043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Harry Potter Boxed Set, Books 1","J.K. Rowling, Mary GrandPré",4.77,33220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Harry Potter Collection,J.K. Rowling,4.73,24618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.37,222842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,A Short History of Nearly Everything,Bill Bryson,4.19,191535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,In a Sunburned Country,Bill Bryson,4.05,58688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
